project_title,beneficiary,start_date,end_date,eu_cofinancing_amount,total_amount,priority_axis,thematical_program,fund_acronym
Ε0278-Α1058,RIANA INSURANCE AGENCY LTD / ΣΠΥΡΙΔΩΝ ΜΕΛΕΤΗΣ,2012,2012,10320,8455.59,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0280-Α1067,ΓΙΩΤΑ ΜΙΛΤΙΑΔΟΥ & ΣΥΝΕΡΓΑΤΕΣ Δ.Ε.Π.Ε. / ΒΕΡΑ ΚΕΣΙΔΟΥ,2012,2012,9120,,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0282-Α0782,C.E. 4CARS LTD / ΕΛΕΝΗ ΑΝΤΡΕΟΥ,2012,2012,10100,7686.53,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0284-Α1080,TECHMAPLAN LTD / SVETLANA LUSHKINA,2012,2012,13230,11101.32,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0285-Α1081,FOLLOW ME INSTITUTE LTD / ΑΝΔΡΕΑΣ ΚΑΪΤΗΣ,2012,2013,12330,11204.71,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0286-Α1084,P. I. PROVIDENT INVESTMENTS LTD / MARIA JOSE PALACIOS,2011,2012,13360,11827.27,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0288-Α0829,"SILVER STAR INSURANCE AGENCIES, SUBAGENCIES AND CONSULTANTS LTD / ΠΑΡΑΣΚΕΥΗ ΧΡΙΣΤΟΔΟΥΛΟΥ",2011,2012,14380,12801.7,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0297-Α1106,THEODOROS KASSIANOS BOOKMAKERS LTD / ΤΑΜΑΡΑ ΒΑΚΟΥΛΑ,2011,2012,7150,6328.12,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0297-Α1107,THEODOROS KASSIANOS BOOKMAKERS LTD / ΕΛΕΝΑ ΘΕΟΔΩΡΟΥ,2011,2012,3570,2760,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0301-Α1117,CH. C. CUT HAIR STUDIO / ΧΡΥΣΑΝΘΗ ΧΡΙΣΤΟΦΟΡΟΥ,2012,2012,12330,10928.67,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0302-Α1121,PANGLOBE SERVICES LTD / NATALIE CURRY,2011,2012,25680,22785.48,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0303-Α1127,ΠΑΡΑΔΟΣΙΑΚΑ ΠΡΟΪΟΝΤΑ Α.Φ.Χ. (ΚΑΤΣΟΥΡΑΣ) ΛΤΔ / ΣΟΥΣΑΝΑ ΧΡΙΣΤΟΥ,2012,2012,9080,7187.87,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0305-Α1135,KING KRASSOS / ΑΝΝΑ ΜΙΧΑΗΛ,2012,2012,10280,,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0307-Α1136,ΣΚΕ ΚΟΚΚΙΝΟΤΡΙΜΙΘΙΑΣ / ΑΝΤΡΟΥΛΛΑ ΣΤΥΛΙΑΝΟΥ,2012,2013,7340,5888.73,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0308-Α0914,ΦΑΡΜΑΚΕΙΟ ΓΕΩΡΓΙΟΣ ΧΑΤΖΗΚΥΡΙΑΚΟΣ / ΓΕΩΡΓΙΑ ΤΣΙΑΡΤΑ,2012,2012,9180,7796.32,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0309-Α1138,Σ. Χ. ΣΤΟΙΧΕΙΟΘΕΣΙΑ ΛΤΔ / ΑΝΝΑ ΝΙΚΟΛΑΟΥ,2012,2012,16440,13763.04,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0310-Α1139,LCC LOGISTICS LTD / ΕΔΟΥΑΡΔΟΣ ΚΟΤΑΝΙΔΗΣ,2012,2012,18570,,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0311-Α1140,COSTAS ANASTASIOU CUSTOMS AGENCIES LTD / ΝΑΤΑΣΑ ΛΕΩΝΙΔΟΥ,2011,2012,11050,10397.22,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0312-Α1143,DELOITTE LTD / ΕΛΙΖΑ ΛΟΥΚΑΙΔΟΥ,2012,2012,22690,20069.11,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0326-Α1160,UNICA TOURS & TRAVEL LTD / ΕΥΑΓΓΕΛΙΑ ΚΚΟΝΕ,2012,2012,6590,,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0332-Α1176,KARMA BEAUTY & SPA LTD / ΘΕΟΔΟΣΙΟΣ ΜΙΚΕΛΛΙΔΗΣ,2012,2012,30820,27113.94,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0333-Α1101,P. M. VISION EXPRESS LTD / LUMINITA STOICA,2012,2012,8900,8186.65,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0334-Α1178,M.C.M.C. PROFESSIONAL SERVICES LTD / UNGUREANU GINA,2012,2012,8820,7782.83,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0336-Α1182,ΣΩΤΗΡΗΣ ΑΡΓΥΡΟΥ Δ.Ε.Π.Ε. / ΕΙΡΗΝΗ ΧΑΡΑΛΑΜΠΟΥΣ,2012,2013,8200,8042.56,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0337-Α1183,GRESON TOOLS LTD / ΑΝΔΡΟΥΛΑ ΑΓΓΕΛΗ,2012,2012,15070,12123.82,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0343-Α0139,APHRODITE DELIGHTS LTD / ΜΑΡΙΑ ΧΑΡΙΛΑΟΥ,2012,2012,7740,6466.99,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0344-Α0195,IAKOVOS PHOTIADES FOODSTUFF SUPPLIERS LTD / MAGDALENA STASINSKA-KAMENOU,2012,2012,9340,,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0353-Α1214,ΚΟΙΝΟΤΙΚΟ ΣΥΜΒΟΥΛΙΟ ΠΑΛΩΔΙΑΣ / ΠΑΝΑΓΙΩΤΗΣ ΕΛΛΗΝΑΣ,2012,2013,13670,11363.16,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0355-Α1227,INTERFUSION SERVICES LTD / ΝΙΚΟΣ ΕΥΜΗΔΗΣ,2012,2012,31060,26063.88,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0357-Α1230,A & G NEOPHYTOU RENT A CAR LTD / ΧΡΥΣΟΒΑΛΑΝΤΩ ΝΕΟΦΥΤΟΥ,2012,2012,9080,7640.85,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0360-Α1235,IORDANOUS AGROFARM MEAT MARKET LTD / ΠΑΡΑΣΚΕΥΑΣ ΤΟΥΜΠΑΣ,2012,2012,14380,12066.61,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0364-Α1241,M & C EXPRESS KIOSK LTD / IRINA MARIA COCIRLA,2012,2012,10240,8998.24,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0366-Α1248,ADAIRPORT MEDIA LTD / SHARON ANN ROBINSON,2012,2013,10280,8978.13,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0367-Α1249,ADBOARD MEDIA LTD / ΠΑΓΩΝΑ ΜΑΡΓΕΤΗ,2012,2012,25530,22412.57,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0368-Α0563,C. V. LOGISTICS LTD / ΚΥΡΙΑΚΗ ΤΑΠΑΚΟΥΔΗ,2012,2012,10780,8203.31,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0369-Α1253,STREAMLINING LTD / ΣΩΤΗΡΗΣ ΑΛΛΑΓΙΩΤΗΣ,2012,2012,20030,17507.38,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0380-Α1266,Μ. ΧΑΛΛΟΥΜΑΣ ΣΥΜΒΟΥΛΟΙ ΚΑΤΑΣΚΕΥΩΝ ΛΤΔ / ΕΛΕΝΗ ΑΘΑΝΑΣΙΟΥ,2012,2012,13250,10415.69,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0382-Α1268,ETOS STAR HOLDINGS LTD / ΑΝΔΡΕΑΣ ΣΙΗΠΠΗΣ,2012,2013,13360,11704.64,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0386-Α1292,ΣΥΜΒΟΥΛΙΟ ΚΟΙΝΟΤΙΚΟΥ ΕΘΕΛΟΝΤΙΣΜΟΥ ΠΥΛΑΣ (ΣΚΕ) / ΠΑΝΑΓΙΩΤΑ ΧΡΙΣΤΟΦΗ,2012,2012,9140,7911.71,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0386-Α1330,ΣΥΜΒΟΥΛΙΟ ΚΟΙΝΟΤΙΚΟΥ ΕΘΕΛΟΝΤΙΣΜΟΥ ΠΥΛΑΣ (ΣΚΕ) / ΠΑΝΑΓΙΩΤΑ ΑΝΤΩΝΙΟΥ,2012,2012,6170,,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0386-Α1331,ΣΥΜΒΟΥΛΙΟ ΚΟΙΝΟΤΙΚΟΥ ΕΘΕΛΟΝΤΙΣΜΟΥ ΠΥΛΑΣ (ΣΚΕ) / ΕΛΕΝΑ ΜΟΥΖΟΥΡΗ,2012,2012,9220,,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0386-Α1332,ΣΥΜΒΟΥΛΙΟ ΚΟΙΝΟΤΙΚΟΥ ΕΘΕΛΟΝΤΙΣΜΟΥ ΠΥΛΑΣ (ΣΚΕ) / ΑΝΤΡΟΥΛΑ ΙΩΣΗΦ,2012,2012,9220,,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
Ε0392-Α1291,MENOS ADVERTISING & DESIGN STUDIOS LTD / ΑΝΤΩΝΙΑ ΣΑΒΒΟΠΟΥΛΟΥ,2012,2012,10240,,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΔΙΕΥΡΥΝΣΗ ΤΗΣ ΑΓΟΡΑΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗ ΣΥΝΟΧΗ,ΑΠ 2 > ΕΣ 1 > Σχέδιο Χορηγιών για Ένταξη στην Απασχόληση με Ευέλικτες Ρυθμίσεις,ESF
