fund,start_year,end_year,beneficiary_name,project_name,total_amount,county
other,01.01.2009,31.12.2009,Market Link Programme/ M2,Market Link programme between Clare CEB and LIT to help graduates develop marketing links,3750,Clare
other,01.01.2010,31.12.2010,Advanced Management Food Prog.,"Advanced Food Management Development Programme for clients of the Board under Measure 2. Included 10 workshops and 4 private mentor visits plus 2 visits to trade fairs. Help clients with getting sales, branding, etc.",22632,Clare
other,01.01.2010,31.12.2010,National Women's Conference,Women's Business Conference organised nationally by Co. & City Enterprise Boards for business clients of all CEB's providing mentoring and business speakers. Contribution by Clare CEB,800,Clare
other,01.01.2011,31.12.2013,Certificate in Business Management Programme /M2,Certificate course in business management on how businesses need to adapt to a dynamic and changing management environment and develop their understanding and knowledge of the management process,11572,Clare
other,01.01.2011,31.12.2011,Selling at Markets/Fairs Seminar/ M2,Seminar on selling goods at marketings and fairs,249,Clare
other,01.01.2011,31.12.2013,Supervisory Management/ M2,"Certificate in supervisory management course which covers supervisory management, operational planning, team leadership and organisational skills. 4 full days",10675,Clare
other,01.01.2011,31.12.2013,GIBO Web Workshop/ M2,Getting Irish Business online website workshop is aimed at businesses who do not already have a web presence. the Workshop consists of 3 hours training.,4667.5,Clare
other,01.01.2011,31.12.2011,Web Conversion Workshop/ M2,Workshop on how to convert web hits into sales. 3 hour workshop,269,Clare
other,01.01.2011,31.12.2011,Video Web Workshop/ M2,Workshop on how to upload videos onto your website. 3 hour workshop,129,Clare
other,01.01.2011,31.12.2011,Resilience Workshop/ M2,"Workshop on how to be resilient in business in todays tough economic times. 3 hour workshop in Bunratty, Co. Clare.",1165.4,Clare
other,01.01.2011,31.12.2011,Craft Programme/ M2,full Management Programme aimed towards craft workers in Co.Clare. 4 week Programme.,1753.15,Clare
other,01.01.2011,31.12.2013,Measure 2 Web Assistance,Measure 2 assistance towards websites and marketing costs for clients of the Board.,49970,Clare
other,01.01.2012,31.12.2013,Internet Marketing Programme M2,"This 6 week internet marketing programme covers all aspects of marketing over the internet including Facebook, Twitter, Pinterest etc. Its aimed at businesses in Co. CLare.",11188,Clare
other,01.01.2012,31.12.2013,SYOB 50+ Training Programme,M2 Training Programme. Start Your Own Business Programme aimed at over 50's in business.,705,Clare
other,01.01.2012,31.12.2012,Getting Irish Business Online Web Workshop,"Getting Irish Business Online (GIBO) - An Post, Blacknight and the County & City Enterprise Boards have teamed up with Google to target the 40% of Irish SMEs and sole traders that do not have a website or an online presence.Businesses signing up can benefit from the following:_x000D_ Free domain name of their choice (.com/ .eu/ .co.uk) _x000D_Free web hosting & DIY website builder _x000D_ Free cloud based email accounts ",920,Clare
other,01.01.2012,31.12.2012,PR Workshop,M2 activity. One day PR workshop on how best to utilise the media for your business.,766,Clare
other,01.01.2012,31.12.2013,Accelerate Programme,Specialist management development programme designed by EI and CEBs nationally. The programme is aimed at grant clients in CO. Clare.,16732.85,Clare
other,01.01.2012,31.12.2012,SHOP Exhibition M2,Clare CEB clients attended the SHOP Exhibition in the RDS. This exhibition is for food businesses.,3408.67,Clare
other,01.01.2013,31.12.2013,Broadcast Media Workshops,Broadcast Media Workshop Measure 2 - Workshops on presenting and interviewing on radio,1300,Clare
other,01.01.2013,31.12.2013,Export Development,Export Development Programme - M2. Development of an export plan for the course participant,10060,Clare
other,01.01.2013,31.12.2013,Social Media,"Social Media Workshops - Facebook, Twitter. Measure 2 Budget",7352.5,Clare
other,01.01.2013,31.12.2013,Excel Programme,Excel/ Spreadsheets Programme. Fetac level 5 certification,765.5,Clare
other,01.01.2013,31.12.2013,Web Marketing,Measure 2 - Web Marketing Programme. How to market your website online,450,Clare
other,01.01.2007,31.12.2007,ADOBE Photoshop Training Prog 2007,Training - Training in the ADOBE Photoshop software ,9485.85,Cork County
other,01.01.2008,31.12.2008,Advanced Food SME Development Prog 2008/M2,Training - Business Development for SME Food Companies,16077.02,Cork County
other,01.01.2007,31.12.2008,Basic Finance Training Prog 2007 & 2008,Training - Learning the skills to understand the bases of basic finances and to be able to set up basic systems to record this info.,3226.02,Cork County
other,01.01.2007,31.12.2008,Big Red Book Training Prog 2007 & 2008,Training - Training on the Big Red Book Accounting Software system,9610.93,Cork County
other,01.01.2007,31.12.2007,Book-Keeping & Financial Mgt Training Prog 2007,"Magement Development Programme - Course involves Records, Books and Accounts: Pricing, Costs and Sales Projections:Cash Flow Management:& VAT and Tax:",2914.92,Cork County
other,01.01.2007,31.12.2008,Business is Good but am I Making Money 07&08,Management Development Programme - Topics covered: Creating and interpreting accounts: Making financial projections: Dealing with tax and VAT,10418.29,Cork County
other,01.01.2008,31.12.2008,CIT Innovation Day 2008/M2,"Enterprise Promotion - Promotion Entreprenuership to third level students in CIT, Cork",4644.85,Cork County
other,01.07.2007,30.06.2010,Cork Schools Enterprise Programme 2007/2008/M2,"Enterprise Eduction - Bring secondary school students aware of Entreprenuership.  Set up and running of Mini Companies, Trade Fairs, etc",17556.25,Cork County
other,01.07.2008,30.06.2009,Cork Schools Enterprise Programme 2008/2009/M2,"Enterprise Eduction - Bring secondary school students aware of Entreprenuership.  Set up and running ofMini Companies, Trade Fairs, etc",18943.1,Cork County
other,01.01.2008,31.12.2008,Customer Relationship Managment (CRM) 2008/M2,Training - Training on who is use the CRM Software system,1893.28,Cork County
other,01.01.2007,31.12.2008,Desk Top Publishing Training Prog 2007 & 2008,Management Develpment Training - Training on how to use the DTP software systems ,11630.17,Cork County
other,01.01.2008,31.12.2008,Do you understand Income Tax Vat Costing Final Accounts 2008,"Training - Training give to owner/manager to understand Income Tax, VAT, costing and there final accounts ",3843.22,Cork County
other,01.01.2008,31.12.2008,Dunmanway Enterprise Network 2008,Enterprise Promotion - Dunmanway Integrated Development Strategy 2008 & Dunmanway Interagency Initative 2008,2050,Cork County
other,01.01.2008,31.12.2008,Effective Personal Productivity Prog 2008/M2,Management Development Training - Learning to become more productive,19572.9,Cork County
other,01.01.2008,31.12.2008,Enterprise Bus Event May 2008,Enterprise Promotion - An enterprise bus traveling around West Cork giving enterprise advice ,6747.33,Cork County
other,01.01.2008,31.12.2009,Enterprise Bus Event 24-28 Aug 2009/M2,Enterprise Promotion - An enterprise bus traveling around West Cork giving enterprise advice,5170.85,Cork County
other,01.01.2007,31.12.2008,Enterprise Promotion Committee 2007 & 2008,Enterprise Promotion - National Enterprise Promotions Committee,6500,Cork County
other,01.01.2007,31.12.2007,Estonian Trade Mission  2007,Enterprise Promotion - Trade Mission to Estonian in 2007,425,Cork County
other,01.01.2007,31.12.2007,"Find, Managing & Succeeding with Agents & Distributors 2007","Training - learning how to find, manage and succeed with agents and distributors ",1140,Cork County
other,01.01.2007,31.12.2007,Franchising - All you need to know seminar 2007,Training - Seminar on Franchising and all you need to know about franchising,1144.89,Cork County
other,01.01.2007,31.12.2007,"FUTURALLIA 2007 - Poitiers, France",Enterprise Promotion - Trade Mission to France to promotion Irish (Cork) enterprises ,17616.24,Cork County
other,01.01.2008,31.12.2008,"FUTURALLIA 2008 - Quebec, Canada",Enterprise Promotion - Trade Mission to Canada to promotion Irish (Cork) enterprises,7540.02,Cork County
other,01.01.2008,31.12.2008,Genesis Enterprise Programme 2008,Enterprise Promotion - Promotion through a the Genesis Programme Network (Cork),1000,Cork County
other,01.01.2007,31.03.2008,Gift Business Development Prog 2007,Management Development Programme - Business Development in all areas for the gift sector ,17737.75,Cork County
other,01.01.2008,31.03.2009,Gift Business Development Programme 2008/M2,Management Development Programme - Business Development in all areas for the gift sector,18063.85,Cork County
other,01.01.2008,31.12.2008,Green Business Workshop 2008,Training - Workshop on who businesses can be more environmental GREEN friendly ,505.78,Cork County
other,01.01.2008,31.12.2008,Grow Your Own Business (Mentoring) 2008/M2,Mentoring - 1-1 client mentoring on who to grow your business,2200.93,Cork County
other,01.01.2007,31.12.2007,Health & Safety Information & Training Day 2007,Training - Information and training day on Health & Safety issues in the work place for SME's,560,Cork County
other,01.01.2008,31.12.2008,How to get paid on time Seminar 2008,Training on how to make sure you get paid on time ,998.28,Cork County
other,01.01.2007,31.12.2008,Marketing Seminars 2007 & 2008,Training - All you need to know about markeing and markeing your business,6296.38,Cork County
other,01.01.2007,31.12.2008,Mentoring Programme 2007,Mentoring - 1-1 client mentoring ,46673.5,Cork County
other,01.01.2008,31.12.2009,Mentoring Programme 2008/M2,Mentoring Programme for grant assisted clients to enable one to one assistance on pertinent business issues,33763.05,Cork County
other,01.01.2007,31.12.2007,Personal & Business Development Programme 2007,Management Development Programme - Programme designed to develop the persona and there business,14914.65,Cork County
other,01.01.2007,31.12.2007,PLATO Cork - West Cork Family Business Networking Group 2007,Enterprise Promotion - Networking ,2500,Cork County
other,01.01.2007,31.12.2007,PLATO Cork - Business Tranference / Family Succession Programme  2007,Management Development Programme - Business Tranference / family members taking over the family business  ,14070.85,Cork County
other,01.01.2007,31.12.2009,PLATO Cork (Marine Sector) West Cork Economical Development Cluster 2007/2008/2009/M2,Enterprise Promotion - Marine Sector Cluster Networking Group 2007-2009,9234.4,Cork County
other,01.01.2007,31.12.2007,Promotion of a Enterprise Culture 2007,Enterprise Promotion - Promoting enterprise throughout West Cork area ,26910.75,Cork County
other,01.01.2008,31.12.2008,Promotion of an Enterprise Culture 2008,Promotion of a Enterprise Culture 2008,13293.21,Cork County
other,01.01.2007,31.12.2008,Public Relations Seminars 2007 & 2008,Training - Seminar on PR,7443.13,Cork County
other,01.01.2007,31.12.2008,Search Engine Optimisation Seminars 2007 & 2008,Training - Seminar to learn more about how best to optimise search engines ,3574.85,Cork County
other,01.01.2007,31.12.2009,Selling Skills Seminars 2007 & 2008/M2,Training - Learning the skills to sell your product or service,9617.41,Cork County
other,01.01.2007,31.12.2008,Selling your Product/Service on the Internet 2007 & 2008,Training - Learn more about how to sell a product or service on the internet,2634.85,Cork County
other,01.01.2007,31.12.2007,Shop Exhibition 2007 - Dublin,Enterprise Promotion - West Cork Clients having a stand at the Shop Exhibition Event 2007,1700,Cork County
other,01.01.2008,31.12.2008,Shop Exhibition Event 2008 - Dublin,Enterprise Promotion - West Cork companies having a stand at the Shop Exhibition Event ,6600,Cork County
other,01.01.2007,31.12.2007,Small Exporters Support Scheme 2007,Enterprise Promotion - Support Scheme to assist clients to find out if there is a market for there product/service abroad (export),2796.65,Cork County
other,01.01.2008,31.12.2008,Small Exporters Support Scheme 2008,Enterprise Promotion - Support Scheme to assist clients to find out if there is a market for there product/service abroad (export),4959.31,Cork County
other,01.01.2007,31.12.2009,SOHO SOLO Programme 2007&2008/M2,"SOHO SOLO Programme 2007&2008 This is a network of migrants into the South West of Ireland who make their living from technology or knowledge industries. It is assisted by the County and City Enterprise Boards as a means of providing practical mentoring, advice and peer support to these new businesses.",15981,Cork County
other,01.01.2007,31.12.2008,Student Enterprise Awards 2007/2008,Enterprise Eduction - Enterprise Awards event ,5000,Cork County
other,01.01.2007,31.12.2009,SYOB Programmes 2007/M2,Managment Development Training - Start your own business programmes,38126.3,Cork County
other,01.01.2008,31.12.2008,SYOB Programmes 2008,Management Development Programme - Start your own business programmes,38112.24,Cork County
other,01.01.2007,31.12.2008,Taxation Matters for a Small Business Seminars 2007 & 2008,Training - learning more about taxation matters relating to SME's in Ireland ,5570,Cork County
other,01.01.2008,31.12.2008,The Do's & Don't of Employment Law Seminars 2008,Training - Informational Seminar on Employment Law for the SME's,2334.2,Cork County
other,01.01.2007,31.12.2007,Thesaurus Payroll Training Programme 2007,Training - Training in Thesaurus Payroll Software ,2070.58,Cork County
other,01.01.2008,31.12.2008,"Trade Mission to Wroclaw, Poland 2008",Enterprise Promotion - Trade Mission to Poland to develop enterprise links,1504,Cork County
other,01.01.2008,31.12.2008,WCEB & CCC Provision of Work Space Unit Project 2008,Enterprise Promotion - carry out research on the provision of work space unit project ,3630,Cork County
other,01.01.2007,31.12.2010,WCEB & Cork BIC Practical Innovation Programme 2007/2008,Management Development Programme - Innovation Prog,16655,Cork County
other,01.01.2007,31.12.2009,WCEB EQ Traceability Follow Up Programme 2007,"EQ Trace - Food Traceability software system enables food processing smes to manage stock, production, HACCP, sales and traceability for food legislation compliance.This programme enabled system to be put in place in a number of West Cork food businesses. www.verifytraceability.com",6143.34,Cork County
other,01.01.2007,31.12.2007,Web Design & Maintenance Training Programme 2007,Training - learning skills to design and maintenance your own business web site ,4080,Cork County
other,01.01.2007,31.12.2008,Web Site Optimisation Seminars 2007 & 2008,Training - Learning Skills to how web site can be best optimised ,6346.92,Cork County
other,01.01.2007,31.12.2007,WCEB & PLATO Cork Family Business Seminar 2007,Training - Family Business Seminar ,1128.9,Cork County
other,01.01.2008,31.12.2008,West Cork Business Advise Clinics 2008,Enterprise Promotion - Holding business advice Clinics in the main towns in West Cork,3532.82,Cork County
other,01.01.2008,31.12.2008,West Cork Community Partnership & Dept of Family & Socal Affairs - Artist's Seminar 2008,Enterprise Promotion - Artist's Seminar ,300,Cork County
other,01.01.2007,31.12.2007,West Cork Craft & Design Guild 2007 Technology Assistance,Enterprise Promotion - West Cork Craft & Design Guild Technology Assistance ,2000,Cork County
other,01.01.2007,31.12.2007,West Cork Networks 2007 (SBN & WIB),Enterprise Promotions - Networking ,19620.4,Cork County
other,01.01.2008,31.12.2009,West Cork Networks 2008 (SBN & WIB) / M2,"SBN - Small Business Network & WIB - Women in Business Network forum for SMEs to meet on a regular basis, to network, share info and contacts and generate business. Monthly Network Events held for SMEs in West Cork. Events usually had a guest speaker and networking activity. Members charged a nominal fee to join.",25256.66,Cork County
other,01.01.2007,31.12.2007,"Wroclaw, Poland Trade Mission Trading Link Cork Business Link Business Event 2007",Enterprise Promotion - Trade Mission to Wroclaw Poland developing trading links with cork businesses ,8212.66,Cork County
other,01.01.2007,31.12.2007,You & Your Money Event 2007,Enterprise Promotion - Money Matters Event ,2117.5,Cork County
other,01.01.2007,31.12.2013,Business Development /M2,Business Development & Planning Training Programmes - Development of clients businesses to adapt to changing market needs.,7862.66,Cork County
other,01.01.2007,31.12.2013,Business Advisor Costs /M2,CEB Staff costs,118027.69,Cork County
other,01.01.2007,31.12.2013,Sort My Books 6025/M2,This is basic accounting good practice training by using a well recognised financial accounting package 'Sort My Books' to help train our clients to keep good financial records that is essential for a good business startup.,53057.21,Cork County
other,01.01.2007,31.12.2012,Getting Started  /M2,Start Your Own Business (SYOB)Training Programme - for clients who are thinking of starting their own business.,161291.75,Cork County
other,01.01.2007,31.12.2013,Personal Development & Leadership Management /M2,Personal Development Training on Personal effectiveness and leadership management for advanced businesses.,117488,Cork County
other,01.01.2007,31.12.2013,Selling Skills /M2,Sales and Marketing Training on the skills and techniques required for selling.,14322,Cork County
other,01.01.2007,31.12.2012,Mentoring /M2,"Mentoring of clients on Market Research, Product Development, Sales & Marketing, Financial Planning and Business Planning.",326936.98,Cork County
other,01.01.2007,01.01.2012,Food Programme6070/M2,"Food Development Programme for clients in the food sector who need support on Distribution, Pricing, Financial Management, HR Labelling, branding, Market Analysis and Strategic Marketing, this course is done in conjunction with the West Cork board.",247485.07,Cork County
other,01.01.2007,31.12.2012,Craft Programme/M2,"Craft Business Development Programme - for local craft producers who need support with Marketing, Finance, and Promotion.",174268.97,Cork County
other,01.01.2007,31.12.2012,Grow Your Business /M2,Management and Development Programme for existing clients helping them with growing the business to the next level.,29725.3,Cork County
other,01.01.2007,31.12.2013,IT Programme /M2,"IT Management Development Training for existing clients in the Information Technology sector, training on Sales, Strategic Marketing, International Selling, Project Management and HR.",72511.6,Cork County
other,01.01.2007,31.12.2013,Enterprise Promotion 6100 /M2,To support Measure 2 activities - promotion of training programmes and Enterprise Month.,76165.98,Cork County
other,01.01.2007,31.12.2012,Community Development  /M2,Promotion of Enterprise in the local Community to increase awareness of Enterprise Culture.,178756.35,Cork County
other,01.01.2007,31.12.2013,Events /M2,"Soft Support Provision for Enterprise Promotion, Tradeshows/Exhibitions",58981.24,Cork County
other,01.01.2007,31.12.2013,Networks 6120 /M2,To support Measure 2 network activities - PLATO Network which supports existing businesses through difficult challenges by using the experience of the local management of multinational companies based in the region.,231640.97,Cork County
other,01.01.2007,31.12.2012,Secondary School Programme /M2,Enterprise Education secondary schools programme.,164825.05,Cork County
other,01.01.2007,31.12.2013,CIT Innovation Awards/M2,CIT Innovation programme to encourage innovation amongst undergratuates which culminates in a competition with different categories of business.,24439.09,Cork County
other,01.01.2007,31.12.2007,Showcase Ireland RDS 21-24 Jan 2007,Showcase in the RDS for Craft sector 21 - 24 Jan 2007,4972.24,Cork County
other,01.01.2008,31.12.2008,Family Business Programme 2008,"This programme is for owner-managers of family run and family owned small to medium sized enterprises. Its main objective is for participants to realize the make up of their family business, develop their management skills, create a network of support for the business and to look at family succession.",294.03,Cork County
other,01.01.2007,31.12.2008,iPass Certified Payroll Technician Course 2008,Training - Payroll Technician Programme ,800,Cork County
other,01.01.2007,31.12.2013,M2 Business Advisor Costs,M2 Business Advisors Costs for Year 2007 & 2008 & 2009 & 2010 & 2011 & 2012 & 2013,374097.48,Cork County
other,01.01.2009,31.12.2009,Bachelor of Business Studies Degree 2009/M2 Training,Bachelor Of Business Stiudies Degree Programme 2009. Undergraduate Students and early school leavers. To facilitate the IPA to run this programme in North Cork.,2875.17,Cork County
other,01.01.2009,31.12.2009,Business Leadership Training Programme/M2 Training,Training in Personal Development and Business Skills and Business development,9144.29,Cork County
other,10.09.2008,15.09.2008,La Rochelle Boat Show 10-15 Sept 2008/M2,"Trade Visit with CCC to showcase a number of Cork businesses at the La Rochelle Boat Show, France.",3295,Cork County
other,01.07.2009,30.06.2010,Cork Schools Enterprise Programme 2009/2010/M2,M2/Enterprise Education Programme to promoter self employment and entrepreneurship in Secondary Schools,16119.68,Cork County
other,01.01.2009,31.12.2009,Advanced Food Programme 2009/M2,Advanced Business Marketing & Product Development Programme for Food Businesses to develop skills and grow business,12712.68,Cork County
other,01.01.2009,31.12.2009,CAD Cork Art & Design Study 2009/M2,Study undertaken on the feasibility of establishing a promotional/support organisation for the Craft sector in Cork including examining a programme of activity and the employment of personnel,5000,Cork County
other,01.01.2009,31.12.2009,CIT Innovation Day 2009/M2,Contribution made by each of the Cork CEBs to the running of the CIT Innovation Programme. The programme is a comprehensive approach to encouraging innovation amongst undergraduates and culminates in a competition with different categories of business. The Innovation Programme has produced a number of high quality business proposals that have gone on to succeed in other business competitions and have resulted in a number of innovative start ups.,4625,Cork County
other,01.01.2009,31.12.2009,Commerical Website Grants 2009/M2,Technical Assistance to enable businesses to develop online trading facilities,12653.76,Cork County
other,01.01.2009,31.12.2009,Cork Design Week 14-24 May 2009/M2,Craft & Design Exhibition week hosted with Retailer Brown thomas to showcase a number of Cork Craft Products and develop sales and listings in BT.,4197.07,Cork County
other,01.01.2009,31.12.2009,Developing a Communication Campaign/PR/2009/M2,Seminar on Developing a Communications Campaige to Drive your Business,318.74,Cork County
other,01.01.2009,31.12.2009,Developing Customer Care Training Programme 2009/M2,Developing Customer Care Training Programme 2009 aimed at owner / managers to develope better skills to look after there customers and incurrage customer to do repeat business with them in the future.,946.08,Cork County
other,01.01.2009,31.12.2009,Dos & Donts Employment Law 2009/M2,Seminar on the Dos and Donts of Irish Employment law,8255.74,Cork County
other,01.01.2009,31.12.2009,Enterprise Promotions PR Budget/Committee 2009/M2,Enterprise Promotions PR Budget/Committee to promote national events such as National Womens Day/National Enterprise Awards and the general promotion of CEBs services. There are no admin costs included in this measure.,1250,Cork County
other,01.01.2009,31.12.2009,Environmental Sustainabiltiy Seminar 7 May 2009/M2,this is a business seminar for Businesses to adress how to be environmentally sustainable.,226.38,Cork County
other,01.01.2009,31.12.2009,Essential Selling Skills 2009/M2 Training,Seminar for Businesses on developing their essential selling skills,2385.86,Cork County
other,01.12.2009,31.12.2009,Cork Food Forum 2009/M2,Networking Event - Jointly Hosted by Cork CEBs showcasing a number of successful Cork based Food businesses and addressed by key food Industry Speakers,2208.4,Cork County
other,01.01.2009,31.12.2009,Grow your Profit Seminar/2009/M2 Training,Seminar on Growing your profits and Increase your Cashflow for micro-enterprises,10263.03,Cork County
other,01.01.2009,31.12.2009,Haccp Training Programme/2009/M2 Training,Training Programme on HACCP implementation for food / catering micro-enterprises,2298.59,Cork County
other,01.01.2009,31.12.2009,How to Get Paid on Time Training Programme 2009/ M2 Training,How to Get Paid on Time Training Programme is for micro-enterprise on developing systems to impriove their chances of getting paid on time,1569.67,Cork County
other,01.01.2009,31.12.2009,Idea Generation Workshops/2009/M2 Training,A series of Idea Generation Workshops to stimulate and encourage people to develop and pursue their business ideas,2364.25,Cork County
other,01.01.2009,31.12.2009,Marketing your way out of recession/2009/M2 Training,Seminar for micro enterprises on developing marketing skills to allow them to adapt to the current recession,2778.47,Cork County
other,01.01.2009,31.12.2009,Mentoring Programme 2009/M2,Mentoring Programme for grant assisted clients to enable one to one assistance on pertinent business issues,20156.09,Cork County
other,01.01.2009,31.12.2010,West Cork Networks 2009 (SBN & WIB) / M2,"SBN - Small Business Network & WIB - Women in Business Network forum for SMEs to meet on a regular basis, to network, share info and contacts and generate business. Monthly Network Events held for SMEs in West Cork. Events usually had a guest speaker and networking activity. Members charged a nominal fee to join.",22038.08,Cork County
other,01.01.2009,31.12.2009,Opportunities in China Seminar 2009/M2 Training,Seminar examining opportunities in China for Irish West Cork based businesses,666.49,Cork County
other,01.01.2009,31.12.2010,PLATO West Cork Networking Group/2009/M2,PLATO Programme Networking Group for West Cork Based Businesses,13860,Cork County
other,01.01.2009,31.12.2009,Pricing Your Product/Service Seminar/2009/M2 Training,Seminar for businesses examining the correct methods for the pricing of products & services,1206.8,Cork County
other,01.01.2009,31.12.2009,Promotional Material WCEB Services/2009/M2,"Promotion of a enterprise culture through the the publication and distribution of materials including newsletters, flyers and training schedules for businesses. This is related to ERDF activites and no admin costs are included.",3282.35,Cork County
other,01.01.2009,31.12.2009,Public Relations Seminars 2009/M2 Training,Seminars for Businesses on how to develop appropriate public relations plans for their businesses,3416.89,Cork County
other,01.01.2009,31.12.2010,Recession Busting Sales & Marketing Programme/2009/M2 Training,Recession Busting Sales & Marketing Business Development Programme for owner managers of micro enterprises,18507.22,Cork County
other,01.01.2009,31.12.2011,Seafood Business Development Programme/2009-10/M2 Training,"Seafood Development Programme for businesses looking to add value to seafood products, develop sales and markets.",15194.66,Cork County
other,01.01.2009,31.12.2009,Search Engine Optimisation Seminars/2009/M2 Training,Series of Seminars assisting owner managers to develop skills in web usage and Searhc Engine optimisation,1521.3,Cork County
other,01.01.2009,31.12.2009,Selling on the Internet 2009/M2 Training,Series of Seminars giving owner managers skills in selling online,3014.54,Cork County
other,01.01.2009,31.12.2009,Setting up an Online Shop/2009/M2 Training,Seminar on Setting up an on line shop for owner managers of micro enterprises,960.09,Cork County
other,01.01.2009,31.12.2009,SHOP Exhibition & Trade Event 2009/M2,Sponsorship of Food Businesse to attend the SHOP National Food & Drinks trade Event in RDS September 2009,4366,Cork County
other,01.01.2009,31.12.2009,SIF ACE Project /2009/M2,The SIF ACE project has worked to develop a range of educational programmes aimed at creating entrepreneurial graduates. A student Intern is supported and her role is to promoter entrepreneurship amongst CIT Students.,2500,Cork County
other,01.01.2009,31.12.2009,Smart Selling Skills/2009/M2 Training,Seminar assisting owner managers to develop and improve their selling skills,403.38,Cork County
other,01.01.2009,31.12.2010,Social Media Made Easy Seminar/2009/M2 Training,"Seminar assisting owner managers to develop and improve on methos of social networking such as Twitter, Blogging etc",1495.1,Cork County
other,01.01.2009,31.12.2009,Sort My Books Accounts/2009/M2 Training,Accounts Programmes in the package Sort My Books designed to make accounting easy for owner managers of micro enterprises,20881.88,Cork County
other,01.01.2009,31.12.2009,Strategic Innovation Fund 2009/M2,The SIF/ACE (Accelerating Campus Entrepreneurship) Programme is a third level enterprise education support to promote entrepreneurship mainly in the non-business disciplines within CIT (eg in the engineering and medical device schools etc),2500,Cork County
other,01.01.2009,31.12.2010,SYOB Programmes 2009/M2 Training,Start Your Own Business Programmes aimed at anyone with a business idea or those running their own business,37972.55,Cork County
other,01.01.2009,31.12.2009,Web Site Optimisation Seminars/2009/M2 Training,Series of Seminars for owner managers of micro enterprises to develop skills in enhancing web site usage amongst cutomer base.,1856.12,Cork County
other,01.01.2009,31.12.2009,Technical Marketing Assistance/WCCDG/2009,Technical Marketign Assistance for a collective west Cork based Craft group to enable them to promote their pieces to potnential customers.,1447.97,Cork County
other,01.01.2009,31.12.2009,CIT Innovation Day 2009/M2,Contribution made by each of the Cork CEBs to the running of the CIT Innovation Programme. The programme is a comprehensive approach to encouraging innovation amongst undergraduates and culminates in a competition with different categories of business. The Innovation Programme has produced a number of high quality business proposals that have gone on to succeed in other business competitions and have resulted in a number of innovative start ups.,4625,Cork County
other,01.01.2009,31.12.2010,Cork Meet Event 2009 /M2,"3-Day Joint Cork CEBs, Cork County Council and Cork Chamber International Networking Event, held Nov.11-13th, 2009 for SMEs. Over 350 businesses attended the event. www.corkmeet.ie",41275.75,Cork County
other,01.07.2009,30.06.2010,Cork Schools Enterprise Programme 2009/2010/M2,Enterprise Education Programme to promoter self employment and entrepreneurship in Secondary Schools,25283.28,Cork County
other,01.01.2009,31.12.2009,Enterprise Promotions PR Budget/Committee 2009/M2,Enterprise Promotions PR Budget/Committee to promote national events such as National Womens Day/National Enterprise Awards and the general promotion of CEBs services. No admin costs included. Enterprise promotion relates exclusively to ERDF activity and is eligible for co-funding,1250,Cork County
other,01.01.2009,31.12.2009,Mallow Development Partnership Forum 2009,Mallow Development Partnership Forum phase 2 of the Marketing Mallow as a hub town for entrepreneurship and innovation going forward,25000,Cork County
other,01.01.2009,31.12.2009,Maximising Your Business in Current Times 2009/M2 Training,"Training on Maximising your Business in the Current Downturn looking at all areas such as, finance,marketing, sales, staff,HR etc",1725,Cork County
other,01.01.2009,31.12.2009,Mentoring Programme 2009/M2,Mentoring Programme for grant assisted clients to enable one to alone assistance on pertinent business issues,2141.21,Cork County
other,01.01.2009,31.12.2009,North Cork Networks 2009/M2,Business Network for the North Cork area to allow networking opportunities to be developed and contacts to be made through a series of events.,4634.05,Cork County
other,01.01.2009,31.12.2009,Promotational Material / Advertising for the promotation of an Enterprise Culture 2009/M2,"Promotional Material and Advertsing to promote training programmes, business seminars and other events to promote an enterprise culture and awarness and driving entrepreneurship and innovation. promotional material/advertising relates exclusively to ERDF activity and that no admin costs are included in this project all costs are eligible for co-funding.",17268.55,Cork County
other,01.01.2009,31.12.2009,SIF ACE Project /2009/M2,The SIF ACE project has worked to develop a range of educational programmes aimed at creating entrepreneurial graduates. A student Intern is supported and her role is to promoter entrepreneurship amongst CIT Students.,2500,Cork County
other,01.01.2009,31.12.2009,Sort My Books Accounts/2009/M2 Training,Accounts Programmes in the package Sort My Books designed to make accounting easy for owner managers of micro enterprises,9071.53,Cork County
other,01.01.2009,31.12.2009,SYOB Programme 2009/M2 Training,Start Your Own Business Programmes aimed at anyone with a business idea or those running their own business,34334.41,Cork County
other,01.01.2009,31.12.2012,M2 Business Advisor Cost/M2,M2 Business Advisors Costs for Year 2009/2010/2011,204449.93,Cork County
other,01.01.2009,31.12.2009,Cork Food Forum 2009/M2,Networking Event - Jointly Hosted by Cork CEBs showcasing a number of successful Cork based Food businesses and addressed by key food Industry Speakers_x000D_,928.36,Cork County
other,01.01.2009,31.12.2010,PLATO & Cork North (Mitchelstown/Fermoy) Networking Group 2009/2010/M2,Mitchelstown/Fermoy Networking group was set up to allow networking opportunities to be developed and contacts to be made through the networking groups.,13860,Cork County
other,01.01.2009,31.12.2010,PLATO & Cork North (Mallow/Charleville) Networking Group 2009/2010/M2,Mallow & Charleville Networking Group was set up to allow networking opportunities to be developed and contacts to be made through the networking groups.,13860,Cork County
other,01.01.2009,31.12.2009,Mitchelstown Enterprise Awareness Forum 2009/M2,The forum was set up to promote and develope enterprise awareness and drive entrepreneurship and innovation in the Mitchelstown and surrounding areas,10000,Cork County
